"Timestamp","Topics [Projection Mapping]","Topics [Raspberry Pi]","Topics [Simulations (particles, forces, systems)]","Topics [Web 101 (HTML, CSS, Javascript)]","Topics [Computer Vision]","Topics [Wordpress 101]","Topics [Multi-Week Physical/Digital Project (Arduino+node+Web)]","Topics [Web Backend (node.js)]","Topics [Apps (iPhone, iPad, Android, mobile)]","Topics [LEDs (blinky blinky)]","Topics [Motors (servos, steppers)]","Topics [Arduino ]","Topics [Processing]","Topics [Data Viz]","Other topics you would like to see covered","Topics you would be interested in teaching/sharing","Who are you? (optional, for nosy reasons only)"
"2016/06/15 4:03:47 PM AST","Very Interested","Very Interested","Very Interested","Eh","Very Interested","No Interest","Very Interested","Very Interested","","No Interest","Eh","No Interest","Very Interested","Very Interested","Building a WOZ Prototype, Unity/VR Game Engine","Projection Mapping, Ardunio","Bill Gastrock"
"2016/06/16 2:59:30 PM AST","Eh","Very Interested","Eh","No Interest","Eh","No Interest","Very Interested","Eh","Very Interested","Very Interested","Very Interested","Very Interested","Very Interested","Eh","","",""
"2016/06/16 2:59:36 PM AST","Very Interested","Eh","Very Interested","Very Interested","Very Interested","Eh","Eh","Very Interested","Very Interested","Very Interested","Eh","Eh","Eh","Very Interested","virtual / augmented / mixed reality (I would also love any recommendations that you have for learning on my own time for all the topics above) LOVE this idea!","3D animation","Sara Remsen"
"2016/06/16 3:01:52 PM AST","Very Interested","Very Interested","No Opinion","Eh","No Opinion","Very Interested","Very Interested","Eh","Very Interested","No Opinion","Eh","Very Interested","Very Interested","Eh","","","Marisa"
"2016/06/16 3:18:45 PM AST","Very Interested","Very Interested","Very Interested","No Opinion","Very Interested","No Opinion","Very Interested","Eh","Eh","Eh","Very Interested","Very Interested","Very Interested","Very Interested","","","Tim T"
"2016/06/16 3:28:42 PM AST","Eh","Eh","No Interest","Very Interested","No Opinion","Very Interested","Very Interested","No Interest","Eh","Eh","No Interest","Eh","Eh","Very Interested","IFTTT","Prototyping - Invision, Documenting and Sharing Projects using wordpress ","Dustin"
"2016/06/16 3:35:08 PM AST","Very Interested","No Opinion","No Opinion","Very Interested","No Opinion","Very Interested","Very Interested","No Opinion","Eh","No Opinion","No Opinion","No Opinion","Very Interested","Very Interested","","","The cool intern."
"2016/06/16 4:05:37 PM AST","","","","","","","Very Interested","","Very Interested","Very Interested","Very Interested","","","","","","Mark Bates  ID HF"
"2016/06/16 4:08:47 PM AST","Eh","Very Interested","Very Interested","No Interest","Very Interested","No Interest","Very Interested","Very Interested","Very Interested","Eh","Very Interested","Eh","Eh","Very Interested","","","Chris L "
"2016/06/16 4:29:05 PM AST","","Very Interested","","Very Interested","","Very Interested","","Very Interested","Very Interested","","","","","","","",""
"2016/06/17 3:39:47 PM AST","Eh","Eh","Very Interested","No Interest","Very Interested","Eh","Eh","Very Interested","Eh","Eh","Very Interested","Eh","Eh","Very Interested","","","The Adam Afzali"
